[Sun Dec 15 12:55:20.867416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.867416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   3. Database->connect() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.868416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Warning:  Missing argument 4 for Database::connect(), called in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86 and defined in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 22, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.868416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.868416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.868416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.868416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   3. Database->connect() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.869416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Warning:  Missing argument 5 for Database::connect(), called in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86 and defined in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 22, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.869416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.869416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
